siteid,sitename,LandUnitDetail,latitudedd,longitudedd,ElevationMeters,PrimaryType,SecondaryType,surveyid,surveydate,surveyors,surveyprotocol,ExtentOfData,seapscore_id,AQ_dewatered,AQ_function,AQ_functionRisk,AQ_discharge,AQ_dischargeRisk,AQ_naturalness,AQ_naturalnessRisk,AQ_persistence,AQ_persistenceRisk,AQ_waterQuality,AQ_waterQualityRisk,AQ_algalPeriphyton,AQ_algalPeriphytonRisk,AQ_aquiferScore,AQ_aquiferRiskScore,GEO_obliterated,GEO_geomorphicFunction,GEO_geomorphicFunctionRisk,GEO_runoutChannel,GEO_runoutChannelRisk,GEO_soilIntegrity,GEO_soilIntegrityRisk,GEO_geomorphicDiversity,GEO_geomorphicDiversityRisk,GEO_naturalDisturbance,GEO_naturalDisturbanceRisk,GEO_geomorphicScore,GEO_geomorphicRiskScore,HAB_isolation,HAB_isolationRisk,HAB_size,HAB_sizeRisk,HAB_quality,HAB_qualityRisk,HAB_nativePlantRole,HAB_nativePlantRoleRisk,HAB_trophicDynamics,HAB_trophicDynamicsRisk,HAB_habitatScore,HAB_habitatRiskScore,BIO_nativePlantRichness,BIO_nativePlantRichnessRisk,BIO_nativeFaunaDiversity,BIO_nativeFaunaDiversityRisk,BIO_sensitivePlantRichness,BIO_sensitivePlantRichnessRisk,BIO_sensitiveFaunaRichness,BIO_sensitiveFaunaRichnessRisk,BIO_nonnativePlantRarity,BIO_nonnativePlantRarityRisk,BIO_nonnativeFaunaRarity,BIO_nonnativeFaunaRarityRisk,BIO_nativePlantDemography,BIO_nativePlantDemographyRisk,BIO_nativeFaunaDemography,BIO_nativeFaunaDemographyRisk,BIO_biotaScore,BIO_biotaRiskScore,FHI_surfaceWQ,FHI_surfaceWQrisk,FHI_flowRegulation,FHI_flowRegulationRisk,FHI_roadTrailRail,FHI_roadTrailRailRisk,FHI_fencing,FHI_fencingRisk,FHI_construction,FHI_constructionRisk,FHI_herbivory,FHI_herbivoryRisk,FHI_recreation,FHI_recreationRisk,FHI_adjacentLand,FHI_adjacentLandRisk,FHI_fireInfluence,FHI_fireInfluenceRisk,FHI_humanImpactScore,FHI_humanImpactRiskScore,AC_informationQuality,AC_informationQualityRisk,AC_culturalSignificance,AC_culturalSignificanceRisk,AC_historicalSignificance,AC_historicalSignificanceRisk,AC_recreationSignificance,AC_recreationSignificanceRisk,AC_economicValue,AC_economicValueRisk,AC_mgmtPlan,AC_mgmtPlanRisk,AC_sciEducValue,AC_sciEducValueRisk,AC_envirCompliance,AC_envirComplianceRisk,AC_legalStatus,AC_legalStatusRisk,AC_adminContextScore,AC_adminContextRiskScore,meanConditionScore,meanConditionRiskScore,nullConditionScores,nullRiskScores,managementRecommendations
271,Big Spring,"Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,hanging garden,anthropogenic,1290097292,7/12/2005,LE Stevens and RJ Johnson,Stevens et al. Level 2,9,100,0,5,2,3,2,5,2,4,2,6,1,6,1,4.83333,1.66667,0,4,4,3,4,3,4,3,3,3,4,3.2,3.8,5,4,4,4,5,4,3,4,4,4,4.2,4,4,4,5,4,5,2,4,4,3,5,5,2,4,4,5,2,4.375,3.375,5,2,3,5,2,5,5,2,3,5,5,2,5,2,3,4,3,4,3.44444,3.875,4,3,6,4,4,3,5,3,4,2,4,2,5,2,4,2,4,3,4.44444,2.66667,4.15208,3.21042,0,0,
675,Trailview unnamed seep,"Kaibab NF, North Kaibab RD",36.40996,-112.08801,2538,hanging garden,,1339954972,6/17/2012,"Larry Stevens, Glenn Rink, Kyle Paffett, and Jeri Ledbetter",Stevens et al. Level 2,7,388,0,0,2,0,1,5,1,6,1,5,1,6,1,3.66667,1.16667,0,6,1,6,0,5,1,0,0,6,1,4.6,0.6,3,1,3,1,6,1,6,1,4,2,4.4,1.2,5,1,5,1,5,1,5,1,6,1,6,1,6,1,6,1,5.5,1,6,0,6,0,5,1,6,0,6,0,5,1,5,1,5,2,4,2,4.77778,0.875,2,1,2,1,0,0,1,0,0,0,6,0,1,1,5,0,5,1,2.44444,0.44444,4.54167,0.99167,0,0,This is a small intermittent seep that has low habitat value. No management action is needed.
585,Oak Spring,"Kaibab NF, North Kaibab RD",36.67734,-112.33707,2054,hillslope,,1340128114,6/16/2012,"Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, Kyle Paffett, and Kumi Isobe",Stevens et al. Level 2,9,391,0,5,2,1,2,5,2,3,2,5,2,4,2,3.83333,2,0,1,5,1,5,3,4,2,5,2,5,1.8,4.8,5,4,2,5,2,5,4,3,4,2,3.4,3.8,3,4,3,4,1,5,4,3,4,3,5,2,4,3,4,3,3.5,3.375,5,1,3,3,4,2,6,1,6,1,5,2,5,2,5,2,5,3,4.33333,2.125,3,1,6,6,3,3,5,3,2,2,0,3,3,3,0,3,5,2,3,2.88889,3.13333,3.49375,0,0,Surveyors did not note any recommendations. 
309,Sowats Veronica unnamed,"Kaibab NF, North Kaibab RD",36.52485,-112.45552,1840,hillslope,,1340217528,6/14/2012,"Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, Dan Tayler, Kumi Isobe, Ariel Leonard, and Kyle Paffett",Stevens et al. Level 2,9,395,0,6,1,2,1,6,1,4,1,6,1,6,1,5,1,0,5,2,6,1,5,3,2,1,6,2,4.8,1.8,3,1,3,1,5,2,5,1,4,2,4,1.4,5,1,4,3,5,2,4,2,6,1,5,3,6,1,4,3,4.875,2,6,1,6,1,5,1,3,3,6,1,5,1,5,1,4,2,4,3,4.44444,1.75,2,3,6,2,3,2,5,1,3,1,5,2,3,2,5,2,5,2,4.11111,1.88889,4.66875,1.55,0,0,"If this site was to be monitored or used, a trail to the source is needed to reduce erosion."
1270,Campbell Road Spring,"Coconino NF, Mogollon Rim RD",34.7475,-111.49703,2094,hillslope,rheocrene,1355414884,6/19/2012,Kyle Paffett and Jen Williams,Stevens et al. Level 2,6,540,0,5,1,2,2,4,2,4,2,5,2,3,3,3.83333,2,0,4,2,4,2,4,2,4,2,3,3,3.8,2.2,3,3,3,2,4,3,3,3,3,4,3.2,3,4,3,4,3,2,3,2,4,3,3,3,3,4,3,4,4,3.25,3.25,5,2,5,2,3,3,6,1,6,1,5,2,4,2,5,2,4,3,4.22222,2.25,1,2,6,6,2,2,4,3,3,3,1,3,3,3,0,3,3,1,2.55556,2.88889,3.52083,2.6125,0,0,"Restoration efforts at this spring site could include removal of vertical culvert spring box, piping, and above ground storage tank. Also, closing or diverting forest road away from spring source would have great benefit to the spring site. This site is a priority because the habitat hosts the Northern Leopard Frog."
911,Brandon Spring,"Coconino NF, Mogollon Rim RD",34.82391,-111.42551,2302,limnocrene,hypocrene,304702101,6/12/2012,Kyle Paffett and Vera Markgraf,Stevens et al. Level 2,4,541,0,5,3,0,3,5,3,4,3,0,3,9,3,2.8,3,0,6,1,6,1,6,1,3,1,5,2,5.2,1.2,3,4,3,1,5,1,5,1,2,4,4,2.2,5,1,1,4,0,6,0,6,6,1,6,1,5,1,3,3,3.25,2.875,0,1,6,1,5,1,4,3,6,1,6,1,5,1,5,2,4,3,4,1.75,0,3,6,6,0,2,5,2,0,1,1,3,3,2,0,2,0,2,1.66667,2.55556,3.8125,2.31875,1,0,Restoration could include mechanically removing cattail and reforming the spring discharge location into a deeper pool.
19233,Dragonfly Medicine Springs,"Tonto NF, Payson RD",34.42438,-111.57314,1318,rheocrene,,1368656100,5/13/2013,"Larry Stevens, Jeri Ledbetter, Tori Stempniewicz, Chris Coder, and Frank Sanchez",Stevens et al. Level 2,8,816,0,5,2,5,2,6,2,4,2,6,1,6,1,5.33333,1.66667,0,6,2,6,2,4,3,3,2,5,3,4.8,2.4,1,2,3,2,5,3,4,3,4,4,3.4,2.8,5,2,5,3,5,2,5,3,5,2,5,2,5,2,5,2,5,2.25,6,1,6,1,4,3,6,1,6,0,6,1,3,4,5,2,5,3,4.66667,2,5,3,6,3,6,2,6,5,4,3,4,4,6,1,5,2,6,4,5.33333,3,4.63333,2.27917,0,0,We recommend that managers redirect the trail away from the source to protect leopard frog and elmid beetle as well as the source area.
15028,Page Cave Springs,Arizona Game & Fish Department,34.76178,-111.88928,1073,cave,anthropogenic,1368721385,5/15/2013,"Larry Stevens, Jeri Ledbetter, Chris Coder, and workshop participants",Stevens et al. Level 2,7,817,0,5,4,4,4,5,4,6,4,5,3,6,2,5.16667,3.5,0,2,5,2,5,2,5,2,4,3,4,2.2,4.6,2,4,3,4,4,4,4,4,3,4,3.2,4,3,4,4,3,2,4,5,3,4,3,4,3,2,4,4,3,3.5,3.375,5,3,2,5,2,5,4,5,2,5,5,1,4,3,2,5,5,2,3.22222,4.25,4,2,6,3,5,2,6,2,6,2,6,2,5,2,5,3,6,3,5.44444,2.33333,3.51667,3.86875,0,0,"The springs are being managed in accordance with ADFD desires; however, the emergence zone could be expanded to twice its present size to increase geomorphic diversity, particularly of lentic/slow lotic and gravel-bottom runs to improve habitat for rare species."
331,Crystal Spring,"Kaibab NF, North Kaibab RD",36.38914,-112.09597,2682,helocrene,,1291677445,8/9/2010,"Barb Phillips, Glenn Rink, Jack Pennington, Ann Litke, Don Witter, and Kimberly Hanson",Stevens/NPS 2000,8,110,0,5,1,2,2,5,2,3,2,9,9,4,2,3.8,1.8,0,3,4,3,4,4,2,5,4,4,2,3.8,3.2,5,5,3,2,9,9,5,2,4,4,3.5,3.25,5,3,4,2,4,4,4,4,4,2,3,4,5,2,3,4,4,3.125,4,2,1,5,4,4,4,3,5,1,5,1,4,3,4,3,5,2,3.55556,3,3,3,6,,3,3,3,2,3,2,4,3,2,1,4,2,6,1,3.77778,2.125,3.775,2.84375,2,3,We would recommend that some open water is maintained and made more accessible to birds -- the standing water is now in a concrete wall. It will also be beneficial to create fencing to exclude undesired ungulates and occasionally monitor.
476,Rock Spring Upper Bowl,"Kaibab NF, North Kaibab RD",36.68374,-112.5719,1345,hanging garden,,1262650726,11/2/2009,Larry Stevens,Stevens et al. Level 2,7,121,0,5,3,1,3,5,2,3,3,5,3,5,2,4,2.66667,0,5,2,5,2,5,2,3,2,5,2,4.6,2,2,1,3,3,5,2,3,5,4,4,3.4,3,4,4,4,4,3,3,5,2,3,5,5,2,5,3,5,3,4.25,3.25,4,3,6,0,5,2,5,2,5,1,5,2,5,2,4,3,5,2,4.44444,2.125,3,3,6,,1,3,1,1,1,2,5,2,3,1,2,4,4,2,2.88889,2.25,4.0625,2.72917,0,1,"This is an interesting, very harsh, nearly pristine hanging garden that could be used as a reference site and may warrant occasional monitoring, particularly in relation to regional uranium mining."
