"","siteid","sitename","LandUnitDetail","latitudedd","longitudedd","ElevationMeters","PrimaryType","SecondaryType","surveyid","surveydate","surveyors","surveyprotocol","ExtentOfData","seapscore_id","FHI_flowRegulation","FHI_humanImpactRiskScore","meanConditionScore"
"1",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",1290097292,"7/12/2005","LE Stevens and RJ Johnson","Stevens et al. Level 2",9,100,3,3.875,4.15208
"2",675,"Trailview unnamed seep","Kaibab NF, North Kaibab RD",36.40996,-112.08801,2538,"hanging garden",NA,1339954972,"6/17/2012","Larry Stevens, Glenn Rink, Kyle Paffett, and Jeri Ledbetter","Stevens et al. Level 2",7,388,6,0.875,4.54167
"3",585,"Oak Spring","Kaibab NF, North Kaibab RD",36.67734,-112.33707,2054,"hillslope",NA,1340128114,"6/16/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, Kyle Paffett, and Kumi Isobe","Stevens et al. Level 2",9,391,3,2.125,3.13333
"4",309,"Sowats Veronica unnamed","Kaibab NF, North Kaibab RD",36.52485,-112.45552,1840,"hillslope",NA,1340217528,"6/14/2012","Larry Stevens, Jeri Ledbetter, Glenn Rink, Anya Fayfer, Dan Tayler, Kumi Isobe, Ariel Leonard, and Kyle Paffett","Stevens et al. Level 2",9,395,6,1.75,4.66875
"5",1270,"Campbell Road Spring","Coconino NF, Mogollon Rim RD",34.7475,-111.49703,2094,"hillslope","rheocrene",1355414884,"6/19/2012","Kyle Paffett and Jen Williams","Stevens et al. Level 2",6,540,5,2.25,3.52083
"6",911,"Brandon Spring","Coconino NF, Mogollon Rim RD",34.82391,-111.42551,2302,"limnocrene","hypocrene",304702101,"6/12/2012","Kyle Paffett and Vera Markgraf","Stevens et al. Level 2",4,541,6,1.75,3.8125
"7",19233,"Dragonfly Medicine Springs","Tonto NF, Payson RD",34.42438,-111.57314,1318,"rheocrene",NA,1368656100,"5/13/2013","Larry Stevens, Jeri Ledbetter, Tori Stempniewicz, Chris Coder, and Frank Sanchez","Stevens et al. Level 2",8,816,6,2,4.63333
"8",15028,"Page Cave Springs","Arizona Game & Fish Department",34.76178,-111.88928,1073,"cave","anthropogenic",1368721385,"5/15/2013","Larry Stevens, Jeri Ledbetter, Chris Coder, and workshop participants","Stevens et al. Level 2",7,817,2,4.25,3.51667
"9",331,"Crystal Spring","Kaibab NF, North Kaibab RD",36.38914,-112.09597,2682,"helocrene",NA,1291677445,"8/9/2010","Barb Phillips, Glenn Rink, Jack Pennington, Ann Litke, Don Witter, and Kimberly Hanson","Stevens/NPS 2000",8,110,1,3,3.775
"10",476,"Rock Spring Upper Bowl","Kaibab NF, North Kaibab RD",36.68374,-112.5719,1345,"hanging garden",NA,1262650726,"11/2/2009","Larry Stevens","Stevens et al. Level 2",7,121,6,2.125,4.0625
"11",368,"Watts Spring","Kaibab NF, North Kaibab RD",36.37939,-112.27579,2442,"hillslope",NA,-1761027419,"7/29/2010","C. Albano, G. Rink, B. Phillips, and K. Willard","Stevens/NPS 2000",8,187,2,2.875,3.41667
"12",604,"Table Rock Spring","Kaibab NF, North Kaibab RD",36.71172,-112.46383,1613,"hanging garden",NA,1305733932,"5/16/2011","L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter","Stevens et al. Level 2",9,207,2,3.25,3.47083
"13",605,"Wildband Spring","Kaibab NF, North Kaibab RD",36.71689,-112.51032,1545,"hillslope","hanging garden",1305841225,"5/18/2011","L.E. Stevens, Glenn Rink, Melissa Schaar, Doug Miller, and Jeri Ledbetter","Stevens et al. Level 2",9,208,4,1.625,4.65417
"14",703,"Little Spring","Kaibab NF, North Kaibab RD",36.62953,-112.58575,1455,"rheocrene",NA,42589885,"5/17/2011","L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter","Stevens et al. Level 2",9,209,6,1.625,4.59375
"15",704,"Boulder Spring","Kaibab NF, North Kaibab RD",36.63126,-112.58782,1390,"rheocrene",NA,244970810,"5/17/2011","L.E. Stevens, Jeri Ledbetter, Melissa Schaar, Glenn Rink, and Megan Souter","Stevens/GDE hybrid",9,210,6,1.25,4.28333
"16",705,"Little Willow Unnamed Seep","Kaibab NF, North Kaibab RD",36.63229,-112.58718,1415,"rheocrene",NA,-1881000141,"5/17/2011","L.E. Stevens, Jeri Ledbetter, and Melissa Schaar","Stevens et al. Level 2",8,211,6,1.25,4.57292
"17",603,"Pigeon Spring","Kaibab NF, North Kaibab RD",36.72411,-112.5094,1506,"hanging garden",NA,1906284758,"5/18/2011","L.E. Stevens, Jeri Ledbetter, Doug Miller, M. Schaar, and Glenn Rink","Stevens et al. Level 2",9,212,3,3.875,3.7625
"18",778,"Solidago Spring","Kaibab NF, North Kaibab RD",36.54127,-112.47433,1765,"hanging garden",NA,1306171535,"5/20/2011","L.E. Stevens, Glenn Rink, and Melissa Schaar","Stevens et al. Level 2",9,213,6,1.5,4.79792
"19",820,"Pasque Spring","Kaibab NF, North Kaibab RD",36.54076,-112.4766,1765,"hanging garden",NA,-1388491996,"5/20/2011","L.E. Stevens, G. Rink, Melissa Schaar, J.D. Ledbetter, and Megan Souter","Stevens et al. Level 2",9,214,6,1.5,4.87917
"20",826,"Phragmites Unnamed Spring","Kaibab NF, North Kaibab RD",36.63205,-112.58805,1396,"hypocrene",NA,1306175483,"5/17/2011","Larry Stevens, Glenn Rink, and Megan Souter","Stevens et al. Level 2",6,215,6,2,3.97917
"21",464,"Slide Spring","Kaibab NF, North Kaibab RD",36.65794,-112.56237,1490,"rheocrene",NA,-1643174473,"5/19/2011","Glenn Rink, Jeri Ledbetter, Melissa Schaar, and Doug Miller","Stevens et al. Level 2",9,216,3,2.25,4.30625
"22",640,"Willow Spring","Kaibab NF, Williams RD",35.13389,-112.02822,1980,"rheocrene","limnocrene",1314901810,"8/29/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",7,222,6,1.625,4.17708
"23",632,"Nail Spring","Kaibab NF, North Kaibab RD",36.62522,-112.34576,2163,"hanging garden",NA,-1166825104,"6/27/2011","Glenn Rink, Jeri Ledbetter, Frank Romiglia, Lisa Schaller and Victoria Hermosillo","Stevens et al. Level 2",8,223,3,1.625,3.025
"24",582,"Lower McDermit Spring","Kaibab NF, Williams RD",35.25786,-111.91766,2165,"helocrene","anthropogenic",865369475,"8/30/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",9,229,1,3.625,2.16042
"25",752,"Isham Spring","Kaibab NF, Williams RD",35.19982,-112.04007,2072,"helocrene",NA,-1592898711,"8/29/2011","Larry Stevens and Jeri Ledbetter","Stevens et al. Level 2",8,231,0,2.875,1.85625
"26",833,"Stonefly Springs","Kaibab NF, North Kaibab RD",36.4085,-112.08466,2399,"rheocrene",NA,-141083453,"6/26/2011","Larry Stevens, Frank Romaglio, Lisa Schaller, and Victoria Hermosilla","Stevens et al. Level 2",9,241,6,1.125,4.87083
"27",322,"Bear Lake","Kaibab NF, North Kaibab RD",36.37138,-112.14729,2775,"limnocrene",NA,1292614369,"8/1/2010","T McCall, G Rink, C Albano, and K Willard","Stevens/NPS 2000",9,248,6,2.5,4.31875
"28",633,"Mangum Springs","Kaibab NF, North Kaibab RD",36.62319,-112.34262,2225,"gushet",NA,-959438265,"6/27/2011","Larry Stevens, David Kreamer, and Andrea Hazelton","Stevens et al. Level 2",8,259,2,1.875,3.64375
"29",367,"Warm Springs","Kaibab NF, North Kaibab RD",36.69452,-112.31196,2109,"cave",NA,-594581327,"6/28/2011","Larry Stevens, Dave Kreamer, Frank Romiglia, Phoebe Stevens, and Andrea Hazelton","Stevens et al. Level 2",9,260,2,3.125,3.15
"30",630,"Tilton Springs","Kaibab NF, North Kaibab RD",36.65883,-112.34017,2099,"rheocrene","hillslope",344223006,"6/27/2011","Larry Stevens, Dave Kreamer, Beep Jenkens, Andrea Hazelton, and Phoebe Stevens","Stevens et al. Level 2",8,261,2,2.875,4.09375
"31",586,"Oquer Spring","Kaibab NF, North Kaibab RD",36.52583,-112.24269,2550,"hillslope",NA,-1575642358,"6/28/2011","Glenn Rink, Lisa Schaller, Beep Jenkins, and Frank Romiglia","Stevens/NPS 2000",10,284,2,2.42857,3.65
"32",323,"Bee Spring","Kaibab NF, North Kaibab RD",36.45068,-112.31821,2388,"hillslope",NA,571,"6/30/2000","RJ Johnson, Nathan Zorich, and Zeke Lauck","Stevens/NPS 2000",8,293,1,2.875,1.88542
"33",765,"Hat Tank lower","Kaibab NF, Williams RD",35.09281,-112.17659,2036,"rheocrene",NA,1337439599,"5/8/2012","Larry Stevens, Jeri Ledbetter, and Anya Fayfer","Stevens et al. Level 2",10,339,6,1.625,3.96875
"34",764,"Hat Tank upper","Kaibab NF, Williams RD",35.0955,-112.1707,2065,"rheocrene","hillslope",-423183711,"5/8/2012","Larry Stevens, Jeri Ledbetter, and Anya Fayfer","Stevens et al. Level 2",9,342,6,1.875,4.01667
"35",579,"Bear Springs","Kaibab NF, Williams RD",35.08688,-112.18007,2016,"rheocrene",NA,1337463882,"5/10/2012","Larry Stevens, Jeri Ledbetter, Marguerite Hendrie, and Anya Fayfer","Stevens et al. Level 2",9,344,6,1.5,4.20417
"36",729,"Mud Springs","Kaibab NF, Williams RD",35.11495,-112.1868,2115,"helocrene","anthropogenic",-2045375229,"5/10/2012","Larry Stevens, Jeri Ledbetter, Anya Fayfer, and Marguerite Hendrie","Stevens et al. Level 2",10,345,3,3.125,3.07917
"37",588,"Rosilda Spring","Kaibab NF, Williams RD",35.17467,-112.06092,2051,"helocrene","anthropogenic",1337612448,"5/12/2012","Larry Stevens, Jeri Ledbetter, Marguerite Hendrie, Anya Fayfer, and Vera Markgraf","Stevens et al. Level 2",9,347,2,2.875,3.50208
"38",739,"Big Spring","Kaibab NF, Williams RD",35.15812,-112.08072,2088,"hillslope",NA,-1863225394,"5/12/2012","Jeri Ledbetter, Marguerite Hendrie, Anya Fayfer, and Vera Markgraf","Stevens et al. Level 2",10,349,4,2.625,3.8625
"39",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,630,"6/21/2001","L.E. Stevens, M. Erhart, Lindsey from USU, E. North, and R.J. Johnson","Stevens/NPS 2000",9,379,6,2.25,4.31667
"40",9738,"Sowats middle unnamed","Kaibab NF, North Kaibab RD",36.52587,-112.45612,1850,"hillslope",NA,1899127942,"6/14/2012","Larry Stevens and Glenn Rink","Stevens et al. Level 2",8,394,6,1.375,4.88542
"41",19150,"Cane Aqueduct Spring","Kaibab NF, North Kaibab RD",36.58284,-112.04753,1891,"cave","anthropogenic",1354802492,"7/15/2005","L.E. Stevens, R.J. Johnson, Shondeen Griswold","Stevens et al. Level 2",9,531,2,2.75,3.6875
"42",72,"Foster Spring","Coconino NF, Mogollon Rim RD",34.77362,-111.50602,2127,"hillslope",NA,1174033049,"9/5/2013","Larry Stevens, Jeri Ledbetter, Chris Canavan, Maryann McGraw, Shelly Barnes, David Jackson, Nita Tallent, Gibbey Simion","Stevens et al. Level 2",4,1020,5,2.9,3.9
"43",348,"North Canyon Spring all","Kaibab NF, North Kaibab RD",36.3978,-112.08428,2508,"hillslope",NA,1385057239,"6/17/2012","Kyle Paffett and Larry Stevens","Stevens et al. Level 2",1,1066,6,1.5,5.07917
"44",460,"Rock Spring Lower","Kaibab NF, North Kaibab RD",36.6837,-112.57248,1328,"hanging garden","hillslope",1260040414,"11/2/2009","Larry Stevens","Stevens et al. Level 2",10,69,4,2.75,4.1125
"45",459,"Mountain Sheep Spring","Kaibab NF, North Kaibab RD",36.52305,-112.56798,1130,"gushet","limnocrene",1307402050,"10/30/2009","Larry Stevens","Stevens et al. Level 2",10,70,5,2.375,4.87083
"46",414,"Barbershop Springs","Coconino NF, Mogollon Rim RD",34.43833,-111.1943,2292,"hillslope",NA,1252177048,"8/22/2009","Larry Stevens, Jeri Ledbetter, Valerie Hallam, Julaire Scott","Stevens et al. Level 2",9,85,4,2.9,4
"47",453,"27 Mule Spring","Kaibab NF, North Kaibab RD",36.50289,-112.54557,1379,"rheocrene",NA,-636807441,"10/30/2009","Larry Stevens","Stevens et al. Level 2",8,124,5,1.57143,4.16875
"48",708,"Tater Canyon Springs","Kaibab NF, North Kaibab RD",36.49475,-112.06881,2260,"hillslope","anthropogenic",1292278918,"7/15/2005","LE Stevens, RJ Johnson, and S Griswald","Stevens et al. Level 2",9,128,1,2.625,2.93889
"49",446,"Veit Spring","Coconino NF, Peaks RD",35.30671,-111.71294,2620,"hillslope","cave",1003707383,"8/14/2009","Larry Stevens and Julaire Scott","Stevens et al. Level 2",9,132,3,3.875,3.70972
"50",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",520,"7/2/2000","RJ Johnson,Nathan Zorich, Zeke Lauck","Stevens/NPS 2000",5,191,3,3.85714,4.1875
"51",271,"Big Spring","Kaibab NF, North Kaibab RD",36.60225,-112.3489,2150,"hanging garden","anthropogenic",632,"6/22/2001","L. Stevens, K Burke, RJ Johnson, M. Erhart, R. Andress, et al","Stevens/NPS 2000",5,206,3,3.85714,4.11042
"52",763,"Acer Spring","Kaibab NF, North Kaibab RD",36.57656,-112.5495,1535,"hillslope",NA,1500746830,"5/21/2011","Glenn Rink, Jeri Ledbetter, Melissa Schaar, and Doug Miller","Stevens/GDE hybrid",10,219,4,1.28571,4.10625
"53",379,"Burro Spring","Kaibab NF, North Kaibab RD",36.81586,-112.0928,1887,"hanging garden",NA,1612828796,"6/28/2011","Jeri Ledbetter, Glenn Rink, Lisa Schaller, Beep Jenkins, and Frank Romiglia","Stevens et al. Level 2",10,290,4,2.5,4.65
"54",413,"FS 139C Spring Pond","Coconino NF, Mogollon Rim RD",34.44196,-111.19214,2333,"limnocrene",NA,707996084,"8/23/2009","Larry Stevens, Jeri Ledbetter, Valerie Hallam","Stevens et al. Level 2",10,62,1,3.5,2.59537
"55",282,"North Canyon Spring lower","Kaibab NF, North Kaibab RD",36.39812,-112.08389,2485,"hillslope",NA,531,"6/28/2000","RJ Johnson, Larry Stevens, Margaret Erhart, Paul Lauck, and Nathan Zorich","Stevens/NPS 2000",8,118,6,1,5.13426
"56",281,"North Canyon Spring upper","Kaibab NF, North Kaibab RD",36.39752,-112.08465,2513,"hillslope",NA,530,"6/28/2000","RJ Johnson, Larry Stevens, Margaret Erhart, Nathan Zorich, and Paul Lauck","Stevens/NPS 2000",9,119,6,1,4.97037
"57",283,"North Canyon Spring middle","Kaibab NF, North Kaibab RD",36.39754,-112.08419,2534,"hillslope",NA,532,"6/28/2000","RJ Johnson, Larry Stevens, Margaret Erhart, Nathan Zorich, and Paul Lauck","Stevens/NPS 2000",8,126,6,1.5,4.90741
"58",280,"Dog Lake","Kaibab NF, North Kaibab RD",36.42209,-112.08968,2682,"limnocrene",NA,529,"6/28/2000","RJ Johnson, Larry Stevens,Margaret Erhart, Nathan Zorich, and Paul Lauck","Stevens/NPS 2000",9,127,1,2.875,3.04398
"59",723,"Tater Canyon Springs upper","Kaibab NF, North Kaibab RD",36.49594,-112.07043,2345,"hanging garden",NA,1303401107,"7/15/2005","L.E. Stevens and R.J. Johnson","Stevens et al. Level 2",7,186,2,2.125,4.24722
"60",678,"Switchback Spring","Kaibab NF, North Kaibab RD",36.40726,-112.08145,2374,"hillslope","rheocrene",132964424,"6/26/2011","Glenn Rink, Jeri Ledbetter, Andrea Hazelton, Beep Jenkins, and Phoebe Stevens","Stevens et al. Level 2",10,221,6,1,4.85
"61",330,"Crane Lake","Kaibab NF, North Kaibab RD",36.52992,-112.14908,2605,"limnocrene",NA,1293734428,"7/13/2005","LE Stevens, RJ Johnson, SG, Kelly Burke, and EA","Stevens et al. Level 2",10,258,6,2.375,3.86389
"62",1359,"Wild Horse upper spring","Kaibab NF, Williams RD",35.09183,-112.16236,2050,"rheocrene",NA,1337360100,"5/11/2012","Larry Stevens, Jeri Ledbetter, and Anya Fayfer, and Marguerite Hendrie","Stevens et al. Level 2",9,340,6,1.875,4.32917
"63",779,"Wild Horse Spring","Kaibab NF, Williams RD",35.09095,-112.1645,2041,"rheocrene",NA,1337459888,"5/11/2012","Larry Stevens, Jeri Ledbetter, Anya Fayfer, and Marguerite Hendrie","Stevens et al. Level 2",9,343,6,1.57143,4.29792
"64",741,"Buck Spring","Kaibab NF, Williams RD",35.18881,-112.04959,2077,"helocrene",NA,2002867233,"5/12/2012","Larry Stevens, Jeri Ledbetter, Marguerite Hendrie, Anya Fayfer, and Vera Markgraf","Stevens et al. Level 2",9,348,2,3.75,2.7375
